reaction number,reaction,reaction rate,description,simplified_reaction,simplified_reaction_rate,equations,simplified_equations
236,Tumor.[C13b=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C13b=PDL2]+ [T13b=PD1:PDL2=C13b]),PD-L2 expression threshold by the T13 subtype of cancer cells in the tumor,zeta.AM -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.AM+ IG:PDL2=C13b),-Tumor.[C13b=PDL2]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C13b=PDL2]+ [T13b=PD1:PDL2=C13b]),-zeta.AM  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.AM+ IG:PDL2=C13b)
237,Tumor.[C13c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C13c=CD80]+ [T13a=PDL1:CD80=C13c]),CD80 expression by the T13 subtype of cancer cells in the tumor,zeta.AN -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.AN+ IE:CD80=C13c),-Tumor.[C13c=CD80]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C13c=CD80]+ [T13a=PDL1:CD80=C13c]),-zeta.AN  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.AN+ IE:CD80=C13c)
238,Tumor.[C14a=PD1] + Tumor.[T14a=PDL1] <-> Tumor.[T14a=PDL1:PD1=C14a],[kon_PD1_PDL1]*Tumor.[C14a=PD1]*Tumor.[T14a=PDL1]/[V_T:C_14] -[koff_PD1_PDL1]*Tumor.[T14a=PDL1:PD1=C14a],Interaction at the immunological synapse between PD-1 expressed by the T14 subtype of cancer cells and PD-L1 on the complementary Effector T cells in the tumor,zeta.AO + zeta.IK <-> zeta.IK:PD1=C14a,kon_PD1_PDL1*zeta.AO*zeta.IK/V_T:C_14 -koff_PD1_PDL1*zeta.IK:PD1=C14a,-Tumor.[C14a=PD1]  = - Tumor.[T14a=PDL1]  =  Tumor.[T14a=PDL1:PD1=C14a] = [kon_PD1_PDL1]*Tumor.[C14a=PD1]*Tumor.[T14a=PDL1]/[V_T:C_14] -[koff_PD1_PDL1]*Tumor.[T14a=PDL1:PD1=C14a],-zeta.AO  = - zeta.IK  =  zeta.IK:PD1=C14a = kon_PD1_PDL1*zeta.AO*zeta.IK/V_T:C_14 -koff_PD1_PDL1*zeta.IK:PD1=C14a
239,Tumor.[C14a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14a=PD1]+[C14a=PD1:aPD1]+ [T14a=PDL1:PD1=C14a]),PD-1 expression threshold by the T14 subtype of cancer cells in the tumor,zeta.AO -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.AO+AO:aPD1+ IK:PD1=C14a),-Tumor.[C14a=PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14a=PD1]+[C14a=PD1:aPD1]+ [T14a=PDL1:PD1=C14a]),-zeta.AO  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.AO+AO:aPD1+ IK:PD1=C14a)
240,Tumor.[C14b=PDL1] + Tumor.[T14c=CD80] <-> Tumor.[T14c=CD80:PDL1=C14b],[kon_PDL1_CD80]*Tumor.[C14b=PDL1]*Tumor.[T14c=CD80]/[V_T:C_14] -[koff_PDL1_CD80]*Tumor.[T14c=CD80:PDL1=C14b],Interaction at the immunological synapse between PD-L1 expressed by the T14 subtype of cancer cells and CD80 on the complementary Effector T cells in the tumor,zeta.AQ + zeta.IQ <-> zeta.IQ:PDL1=C14b,kon_PDL1_CD80*zeta.AQ*zeta.IQ/V_T:C_14 -koff_PDL1_CD80*zeta.IQ:PDL1=C14b,-Tumor.[C14b=PDL1]  = - Tumor.[T14c=CD80]  =  Tumor.[T14c=CD80:PDL1=C14b] = [kon_PDL1_CD80]*Tumor.[C14b=PDL1]*Tumor.[T14c=CD80]/[V_T:C_14] -[koff_PDL1_CD80]*Tumor.[T14c=CD80:PDL1=C14b],-zeta.AQ  = - zeta.IQ  =  zeta.IQ:PDL1=C14b = kon_PDL1_CD80*zeta.AQ*zeta.IQ/V_T:C_14 -koff_PDL1_CD80*zeta.IQ:PDL1=C14b
241,Tumor.[C14b=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C14b=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C14b=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C14b=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the T14 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.AQ + zeta.GI <-> zeta.AQ:aPDL1,kon_PDL1-PDL1mAb*zeta.AQ*zeta.GI/Vt - koff_PDL1-PDL1mAb*zeta.AQ:aPDL1,-Tumor.[C14b=PDL1]  = - Tumor.PDL1_mabt  =  Tumor.[C14b=PDL1:aPDL1] = [kon_PDL1-PDL1mAb]*Tumor.[C14b=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C14b=PDL1:aPDL1],-zeta.AQ  = - zeta.GI  =  zeta.AQ:aPDL1 = kon_PDL1-PDL1mAb*zeta.AQ*zeta.GI/Vt - koff_PDL1-PDL1mAb*zeta.AQ:aPDL1
242,Tumor.[C14b=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14b=PDL1]+[C14b=PDL1:aPDL1]+ [T14b=PD1:PDL1=C14b]+[T14c=CD80:PDL1=C14b]),PD-L1 expression threshold by the T14 subtype of cancer cells in the tumor,zeta.AQ -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.AQ+AQ:aPDL1+ IN:PDL1=C14b+IQ:PDL1=C14b),-Tumor.[C14b=PDL1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14b=PDL1]+[C14b=PDL1:aPDL1]+ [T14b=PD1:PDL1=C14b]+[T14c=CD80:PDL1=C14b]),-zeta.AQ  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.AQ+AQ:aPDL1+ IN:PDL1=C14b+IQ:PDL1=C14b)
243,Tumor.[C14c=CD80] + Tumor.[T14a=PDL1] <-> Tumor.[T14a=PDL1:CD80=C14c],[kon_PDL1_CD80]*Tumor.[C14c=CD80]*Tumor.[T14a=PDL1]/[V_T:C_14] -[koff_PDL1_CD80]*Tumor.[T14a=PDL1:CD80=C14c],Interaction at the immunological synapse between CD80 expressed by the T14 subtype of cancer cells and PD-L1 on the complementary Effector T cells in the tumor,zeta.AR + zeta.IK <-> zeta.IK:CD80=C14c,kon_PDL1_CD80*zeta.AR*zeta.IK/V_T:C_14 -koff_PDL1_CD80*zeta.IK:CD80=C14c,-Tumor.[C14c=CD80]  = - Tumor.[T14a=PDL1]  =  Tumor.[T14a=PDL1:CD80=C14c] = [kon_PDL1_CD80]*Tumor.[C14c=CD80]*Tumor.[T14a=PDL1]/[V_T:C_14] -[koff_PDL1_CD80]*Tumor.[T14a=PDL1:CD80=C14c],-zeta.AR  = - zeta.IK  =  zeta.IK:CD80=C14c = kon_PDL1_CD80*zeta.AR*zeta.IK/V_T:C_14 -koff_PDL1_CD80*zeta.IK:CD80=C14c
244,Tumor.[C14c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14c=CD80]+ [T14a=PDL1:CD80=C14c]),CD80 expression threshold by the T14 subtype of cancer cells in the tumor,zeta.AR -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.AR+ IK:CD80=C14c),-Tumor.[C14c=CD80]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14c=CD80]+ [T14a=PDL1:CD80=C14c]),-zeta.AR  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.AR+ IK:CD80=C14c)
245,Tumor.[C15a=PD1] + Tumor.PD1_mabt <-> Tumor.[C15a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[C15a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C15a=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the T15 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.AS + zeta.FK <-> zeta.AS:aPD1,kon_PD1-PD1mAb*zeta.AS*zeta.FK/Vt - koff_PD1-PD1mAb*zeta.AS:aPD1,-Tumor.[C15a=PD1]  = - Tumor.PD1_mabt  =  Tumor.[C15a=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.[C15a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C15a=PD1:aPD1],-zeta.AS  = - zeta.FK  =  zeta.AS:aPD1 = kon_PD1-PD1mAb*zeta.AS*zeta.FK/Vt - koff_PD1-PD1mAb*zeta.AS:aPD1
246,Tumor.[C15a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15a=PD1]+[C15a=PD1:aPD1]+ [T15a=PDL1:PD1=C15a]),PD-1 expression threshold by the T15 subtype of cancer cells in the tumor,zeta.AS -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.AS+AS:aPD1+ IS:PD1=C15a),-Tumor.[C15a=PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15a=PD1]+[C15a=PD1:aPD1]+ [T15a=PDL1:PD1=C15a]),-zeta.AS  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.AS+AS:aPD1+ IS:PD1=C15a)
247,Tumor.[C15b=PDL2] + Tumor.[T15b=PD1] <-> Tumor.[T15b=PD1:PDL2=C15b],[kon_PD1_PDL2]*Tumor.[C15b=PDL2]*Tumor.[T15b=PD1]/[V_T:C_15] -[koff_PD1_PDL2]*Tumor.[T15b=PD1:PDL2=C15b],Interaction at the immunological synapse between PD-L2 expressed by the T15 subtype of cancer cells and PD-1 on the complementary Effector T cells in the tumor,zeta.AU + zeta.IV <-> zeta.IV:PDL2=C15b,kon_PD1_PDL2*zeta.AU*zeta.IV/V_T:C_15 -koff_PD1_PDL2*zeta.IV:PDL2=C15b,-Tumor.[C15b=PDL2]  = - Tumor.[T15b=PD1]  =  Tumor.[T15b=PD1:PDL2=C15b] = [kon_PD1_PDL2]*Tumor.[C15b=PDL2]*Tumor.[T15b=PD1]/[V_T:C_15] -[koff_PD1_PDL2]*Tumor.[T15b=PD1:PDL2=C15b],-zeta.AU  = - zeta.IV  =  zeta.IV:PDL2=C15b = kon_PD1_PDL2*zeta.AU*zeta.IV/V_T:C_15 -koff_PD1_PDL2*zeta.IV:PDL2=C15b
248,Tumor.[C15b=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15b=PDL2] + [T15b=PD1:PDL2=C15b]),PD-L2 expression threshold by the T15 subtype of cancer cells in the tumor,zeta.AU -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.AU + IV:PDL2=C15b),-Tumor.[C15b=PDL2]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15b=PDL2] + [T15b=PD1:PDL2=C15b]),-zeta.AU  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.AU + IV:PDL2=C15b)
249,Tumor.[C15c=CD80] + Tumor.[T15a=PDL1] <-> Tumor.[T15a=PDL1:CD80=C15c],[kon_PDL1_CD80]*Tumor.[C15c=CD80]*Tumor.[T15a=PDL1]/[V_T:C_15] -[koff_PDL1_CD80]*Tumor.[T15a=PDL1:CD80=C15c],Interaction at the immunological synapse between CD80 expressed by the T15 subtype of cancer cells and PD-L1 on the complementary Effector T cells in the tumor,zeta.AV + zeta.IS <-> zeta.IS:CD80=C15c,kon_PDL1_CD80*zeta.AV*zeta.IS/V_T:C_15 -koff_PDL1_CD80*zeta.IS:CD80=C15c,-Tumor.[C15c=CD80]  = - Tumor.[T15a=PDL1]  =  Tumor.[T15a=PDL1:CD80=C15c] = [kon_PDL1_CD80]*Tumor.[C15c=CD80]*Tumor.[T15a=PDL1]/[V_T:C_15] -[koff_PDL1_CD80]*Tumor.[T15a=PDL1:CD80=C15c],-zeta.AV  = - zeta.IS  =  zeta.IS:CD80=C15c = kon_PDL1_CD80*zeta.AV*zeta.IS/V_T:C_15 -koff_PDL1_CD80*zeta.IS:CD80=C15c
250,Tumor.[C15c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15c=CD80]+ [T15a=PDL1:CD80=C15c]),CD80 expression threshold by the T15 subtype of cancer cells in the tumor,zeta.AV -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.AV+ IS:CD80=C15c),-Tumor.[C15c=CD80]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15c=CD80]+ [T15a=PDL1:CD80=C15c]),-zeta.AV  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.AV+ IS:CD80=C15c)
251,Tumor.[C16a=PD1] + Tumor.[T16a=PDL1] <-> Tumor.[T16a=PDL1:PD1=C16a],[kon_PD1_PDL1]*Tumor.[C16a=PD1]*Tumor.[T16a=PDL1]/[V_T:C_16] -[koff_PD1_PDL1]*Tumor.[T16a=PDL1:PD1=C16a],Interaction at the immunological synapse between PD-1 expressed by the T16 subtype of cancer cells and PD-L1 on the complementary Effector T cells in the tumor,zeta.AW + zeta.IY <-> zeta.IY:PD1=C16a,kon_PD1_PDL1*zeta.AW*zeta.IY/V_T:C_16 -koff_PD1_PDL1*zeta.IY:PD1=C16a,-Tumor.[C16a=PD1]  = - Tumor.[T16a=PDL1]  =  Tumor.[T16a=PDL1:PD1=C16a] = [kon_PD1_PDL1]*Tumor.[C16a=PD1]*Tumor.[T16a=PDL1]/[V_T:C_16] -[koff_PD1_PDL1]*Tumor.[T16a=PDL1:PD1=C16a],-zeta.AW  = - zeta.IY  =  zeta.IY:PD1=C16a = kon_PD1_PDL1*zeta.AW*zeta.IY/V_T:C_16 -koff_PD1_PDL1*zeta.IY:PD1=C16a
252,Tumor.[C16a=PD1] + Tumor.PD1_mabt <-> Tumor.[C16a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[C16a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C16a=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the T16 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.AW + zeta.FK <-> zeta.AW:aPD1,kon_PD1-PD1mAb*zeta.AW*zeta.FK/Vt - koff_PD1-PD1mAb*zeta.AW:aPD1,-Tumor.[C16a=PD1]  = - Tumor.PD1_mabt  =  Tumor.[C16a=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.[C16a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C16a=PD1:aPD1],-zeta.AW  = - zeta.FK  =  zeta.AW:aPD1 = kon_PD1-PD1mAb*zeta.AW*zeta.FK/Vt - koff_PD1-PD1mAb*zeta.AW:aPD1
253,Tumor.[C16a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16a=PD1]+[C16a=PD1:aPD1]+ [T16a=PDL1:PD1=C16a]),PD-1 expression threshold by the T16 subtype of cancer cells in the tumor,zeta.AW -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.AW+AW:aPD1+ IY:PD1=C16a),-Tumor.[C16a=PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16a=PD1]+[C16a=PD1:aPD1]+ [T16a=PDL1:PD1=C16a]),-zeta.AW  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.AW+AW:aPD1+ IY:PD1=C16a)
254,Tumor.[C16b=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C16b=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C16b=PDL1]*Tumor.PDL1_mabt/Vt-[koff_PDL1-PDL1mAb]*Tumor.[C16b=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the T16 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.AY + zeta.GI <-> zeta.AY:aPDL1,kon_PDL1-PDL1mAb*zeta.AY*zeta.GI/Vt-koff_PDL1-PDL1mAb*zeta.AY:aPDL1,-Tumor.[C16b=PDL1]  = - Tumor.PDL1_mabt  =  Tumor.[C16b=PDL1:aPDL1] = [kon_PDL1-PDL1mAb]*Tumor.[C16b=PDL1]*Tumor.PDL1_mabt/Vt-[koff_PDL1-PDL1mAb]*Tumor.[C16b=PDL1:aPDL1],-zeta.AY  = - zeta.GI  =  zeta.AY:aPDL1 = kon_PDL1-PDL1mAb*zeta.AY*zeta.GI/Vt-koff_PDL1-PDL1mAb*zeta.AY:aPDL1
255,Tumor.[C16b=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16b=PDL1]+[C16b=PDL1:aPDL1]+ [T16c=CD80:PDL1=C16b]+[T16b=PD1:PDL1=C16b]),PD-L1 expression threshold by the T16 subtype of cancer cells in the tumor,zeta.AY -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.AY+AY:aPDL1+ JG:PDL1=C16b+JC:PDL1=C16b),-Tumor.[C16b=PDL1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16b=PDL1]+[C16b=PDL1:aPDL1]+ [T16c=CD80:PDL1=C16b]+[T16b=PD1:PDL1=C16b]),-zeta.AY  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.AY+AY:aPDL1+ JG:PDL1=C16b+JC:PDL1=C16b)
256,Tumor.[C16c=PDL2] + Tumor.[T16b=PD1] <-> Tumor.[T16b=PD1:PDL2=C16c],[kon_PD1_PDL2]*Tumor.[C16c=PDL2]*Tumor.[T16b=PD1]/[V_T:C_16] -[koff_PD1_PDL2]*Tumor.[T16b=PD1:PDL2=C16c],Interaction at the immunological synapse between PD-L2 expressed by the T16 subtype of cancer cells and PD-1 on the complementary Effector T cells in the tumor,zeta.BA + zeta.JC <-> zeta.JC:PDL2=C16c,kon_PD1_PDL2*zeta.BA*zeta.JC/V_T:C_16 -koff_PD1_PDL2*zeta.JC:PDL2=C16c,-Tumor.[C16c=PDL2]  = - Tumor.[T16b=PD1]  =  Tumor.[T16b=PD1:PDL2=C16c] = [kon_PD1_PDL2]*Tumor.[C16c=PDL2]*Tumor.[T16b=PD1]/[V_T:C_16] -[koff_PD1_PDL2]*Tumor.[T16b=PD1:PDL2=C16c],-zeta.BA  = - zeta.JC  =  zeta.JC:PDL2=C16c = kon_PD1_PDL2*zeta.BA*zeta.JC/V_T:C_16 -koff_PD1_PDL2*zeta.JC:PDL2=C16c
257,Tumor.[C16c=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16c=PDL2]+ [T16b=PD1:PDL2=C16c]),PD-L2 expression threshold by the T16 subtype of cancer cells in the tumor,zeta.BA -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BA+ JC:PDL2=C16c),-Tumor.[C16c=PDL2]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16c=PDL2]+ [T16b=PD1:PDL2=C16c]),-zeta.BA  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BA+ JC:PDL2=C16c)
258,Tumor.[C16d=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16d=CD80]+ [T16a=PDL1:CD80=C16d]),CD80 expression threshold by the T16 subtype of cancer cells in the tumor,zeta.BB -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BB+ IY:CD80=C16d),-Tumor.[C16d=CD80]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16d=CD80]+ [T16a=PDL1:CD80=C16d]),-zeta.BB  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BB+ IY:CD80=C16d)
259,Tumor.[C2=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C2=PD1]+[C2=PD1:aPD1]+[T2=PDL1:PD1=C2]),PD-1 expression threshold by the T2 subtype of cancer cells in the tumor,zeta.BC -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BC+BC:aPD1+JI:PD1=C2),-Tumor.[C2=PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C2=PD1]+[C2=PD1:aPD1]+[T2=PDL1:PD1=C2]),-zeta.BC  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BC+BC:aPD1+JI:PD1=C2)
260,Tumor.[C3=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C3=PDL1]+[C3=PDL1:aPDL1]+[T3a=PD1:PDL1=C3]+[T3b=CD80:PDL1=C3]),PD-L1 expression threshold by the T3 subtype of cancer cells in the tumor,zeta.BE -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BE+BE:aPDL1+JL:PDL1=C3+JO:PDL1=C3),-Tumor.[C3=PDL1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C3=PDL1]+[C3=PDL1:aPDL1]+[T3a=PD1:PDL1=C3]+[T3b=CD80:PDL1=C3]),-zeta.BE  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BE+BE:aPDL1+JL:PDL1=C3+JO:PDL1=C3)
261,Tumor.[C4=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C4=PDL2]+[T4=PD1:PDL2=C4]),PD-L2 expression threshold by the T4 subtype of cancer cells in the tumor,zeta.BG -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BG+JQ:PDL2=C4),-Tumor.[C4=PDL2]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C4=PDL2]+[T4=PD1:PDL2=C4]),-zeta.BG  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BG+JQ:PDL2=C4)
262,Tumor.[C5=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C5=CD80]+[T5=PDL1:CD80=C5]),CD80 expression threshold by the T5 subtype of cancer cells in the tumor,zeta.BH -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BH+JT:CD80=C5),-Tumor.[C5=CD80]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C5=CD80]+[T5=PDL1:CD80=C5]),-zeta.BH  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BH+JT:CD80=C5)
263,Tumor.[C6a=PD1] + Tumor.PD1_mabt <-> Tumor.[C6a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[C6a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C6a=PD1:aPD1],Interaction at the immunological synapse between PD-L2 expressed by the T6 subtype of cancer cells and PD-1 on the complementary Effector T cells in the tumor,zeta.BI + zeta.FK <-> zeta.BI:aPD1,kon_PD1-PD1mAb*zeta.BI*zeta.FK/Vt - koff_PD1-PD1mAb*zeta.BI:aPD1,-Tumor.[C6a=PD1]  = - Tumor.PD1_mabt  =  Tumor.[C6a=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.[C6a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C6a=PD1:aPD1],-zeta.BI  = - zeta.FK  =  zeta.BI:aPD1 = kon_PD1-PD1mAb*zeta.BI*zeta.FK/Vt - koff_PD1-PD1mAb*zeta.BI:aPD1
264,Tumor.[C6a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C6a=PD1]+[C6a=PD1:aPD1]+[T6a=PDL1:PD1=C6a]),PD-1 expression threshold by the T6 subtype of cancer cells in the tumor,zeta.BI -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BI+BI:aPD1+JV:PD1=C6a),-Tumor.[C6a=PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C6a=PD1]+[C6a=PD1:aPD1]+[T6a=PDL1:PD1=C6a]),-zeta.BI  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BI+BI:aPD1+JV:PD1=C6a)
265,Tumor.[C6b=PDL1] + Tumor.[T6b=PD1] <-> Tumor.[T6b=PD1:PDL1=C6b],[kon_PD1_PDL1]*Tumor.[C6b=PDL1]*Tumor.[T6b=PD1]/[V_T:C_6] - [koff_PD1_PDL1]*Tumor.[T6b=PD1:PDL1=C6b],Interaction at the immunological synapse between PD-L1 expressed by the T6 subtype of cancer cells and PD-1 on the complementary Effector T cells in the tumor,zeta.BK + zeta.JX <-> zeta.JX:PDL1=C6b,kon_PD1_PDL1*zeta.BK*zeta.JX/V_T:C_6 - koff_PD1_PDL1*zeta.JX:PDL1=C6b,-Tumor.[C6b=PDL1]  = - Tumor.[T6b=PD1]  =  Tumor.[T6b=PD1:PDL1=C6b] = [kon_PD1_PDL1]*Tumor.[C6b=PDL1]*Tumor.[T6b=PD1]/[V_T:C_6] - [koff_PD1_PDL1]*Tumor.[T6b=PD1:PDL1=C6b],-zeta.BK  = - zeta.JX  =  zeta.JX:PDL1=C6b = kon_PD1_PDL1*zeta.BK*zeta.JX/V_T:C_6 - koff_PD1_PDL1*zeta.JX:PDL1=C6b
266,Tumor.[C6b=PDL1] + Tumor.[T6c=CD80] <-> Tumor.[T6c=CD80:PDL1=C6b],[kon_PDL1_CD80]*Tumor.[C6b=PDL1]*Tumor.[T6c=CD80]/[V_T:C_6] -[koff_PDL1_CD80]*Tumor.[T6c=CD80:PDL1=C6b],Interaction at the immunological synapse between PD-L1 expressed by the T6 subtype of cancer cells and CD80 on the complementary Effector T cells in the tumor,zeta.BK + zeta.KA <-> zeta.KA:PDL1=C6b,kon_PDL1_CD80*zeta.BK*zeta.KA/V_T:C_6 -koff_PDL1_CD80*zeta.KA:PDL1=C6b,-Tumor.[C6b=PDL1]  = - Tumor.[T6c=CD80]  =  Tumor.[T6c=CD80:PDL1=C6b] = [kon_PDL1_CD80]*Tumor.[C6b=PDL1]*Tumor.[T6c=CD80]/[V_T:C_6] -[koff_PDL1_CD80]*Tumor.[T6c=CD80:PDL1=C6b],-zeta.BK  = - zeta.KA  =  zeta.KA:PDL1=C6b = kon_PDL1_CD80*zeta.BK*zeta.KA/V_T:C_6 -koff_PDL1_CD80*zeta.KA:PDL1=C6b
267,Tumor.[C6b=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C6b=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C6b=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C6b=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the T6 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.BK + zeta.GI <-> zeta.BK:aPDL1,kon_PDL1-PDL1mAb*zeta.BK*zeta.GI/Vt - koff_PDL1-PDL1mAb*zeta.BK:aPDL1,-Tumor.[C6b=PDL1]  = - Tumor.PDL1_mabt  =  Tumor.[C6b=PDL1:aPDL1] = [kon_PDL1-PDL1mAb]*Tumor.[C6b=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C6b=PDL1:aPDL1],-zeta.BK  = - zeta.GI  =  zeta.BK:aPDL1 = kon_PDL1-PDL1mAb*zeta.BK*zeta.GI/Vt - koff_PDL1-PDL1mAb*zeta.BK:aPDL1
