reaction number,reaction,reaction rate,simplified_reaction
208,Tumor.[C{PD1}{PDL2}] -> Tumor.[C{PD1}{PDL2}] + Tumor.[C7a=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL2}]*([PD1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL2}] -> zeta.[C{PD1}{PDL2}] + zeta.[BL]
209,Tumor.[C{PD1}{PDL2}] -> Tumor.[C{PD1}{PDL2}] + Tumor.[C7b=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL2}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL2}] -> zeta.[C{PD1}{PDL2}] + zeta.[BN]
210,Tumor.[C{PD1}{PDL2}{CD80}] -> Tumor.[C{PD1}{PDL2}{CD80}] + Tumor.[C15a=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL2}{CD80}]*([PD1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL2}{CD80}] -> zeta.[C{PD1}{PDL2}{CD80}] + zeta.[AS]
211,Tumor.[C{PD1}{PDL2}{CD80}] -> Tumor.[C{PD1}{PDL2}{CD80}] + Tumor.[C15b=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL2}{CD80}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL2}{CD80}] -> zeta.[C{PD1}{PDL2}{CD80}] + zeta.[AU]
212,Tumor.[C{PD1}{PDL2}{CD80}] -> Tumor.[C{PD1}{PDL2}{CD80}] + Tumor.[C15c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL2}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL2}{CD80}] -> zeta.[C{PD1}{PDL2}{CD80}] + zeta.[AV]
213,Tumor.[C{PDL1}] -> Tumor.[C{PDL1}] + Tumor.[C3=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL1}] -> zeta.[C{PDL1}] + zeta.[BE]
214,Tumor.[C{PDL1}{CD80}] -> Tumor.[C{PDL1}{CD80}] + Tumor.[C11a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{CD80}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL1}{CD80}] -> zeta.[C{PDL1}{CD80}] + zeta.[AH]
215,Tumor.[C{PDL1}{CD80}] -> Tumor.[C{PDL1}{CD80}] + Tumor.[C11b=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL1}{CD80}] -> zeta.[C{PDL1}{CD80}] + zeta.[AI]
216,Tumor.[C{PDL1}{PDL2}] -> Tumor.[C{PDL1}{PDL2}] + Tumor.[C8a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{PDL2}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL1}{PDL2}] -> zeta.[C{PDL1}{PDL2}] + zeta.[BO]
217,Tumor.[C{PDL1}{PDL2}] -> Tumor.[C{PDL1}{PDL2}] + Tumor.[C8b=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{PDL2}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL1}{PDL2}] -> zeta.[C{PDL1}{PDL2}] + zeta.[BP]
218,Tumor.[C{PDL1}{PDL2}{CD80}] -> Tumor.[C{PDL1}{PDL2}{CD80}] + Tumor.[C13a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{PDL2}{CD80}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL1}{PDL2}{CD80}] -> zeta.[C{PDL1}{PDL2}{CD80}] + zeta.[AL]
219,Tumor.[C{PDL1}{PDL2}{CD80}] -> Tumor.[C{PDL1}{PDL2}{CD80}] + Tumor.[C13b=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{PDL2}{CD80}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL1}{PDL2}{CD80}] -> zeta.[C{PDL1}{PDL2}{CD80}] + zeta.[AM]
220,Tumor.[C{PDL1}{PDL2}{CD80}] -> Tumor.[C{PDL1}{PDL2}{CD80}] + Tumor.[C13c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{PDL2}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL1}{PDL2}{CD80}] -> zeta.[C{PDL1}{PDL2}{CD80}] + zeta.[AN]
221,Tumor.[C{PDL2}] -> Tumor.[C{PDL2}] + Tumor.[C4=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL2}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL2}] -> zeta.[C{PDL2}] + zeta.[BG]
222,Tumor.[C{PDL2}{CD80}] -> Tumor.[C{PDL2}{CD80}] + Tumor.[C12a=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL2}{CD80}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL2}{CD80}] -> zeta.[C{PDL2}{CD80}] + zeta.[AJ]
223,Tumor.[C{PDL2}{CD80}] -> Tumor.[C{PDL2}{CD80}] + Tumor.[C12b=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL2}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PDL2}{CD80}] -> zeta.[C{PDL2}{CD80}] + zeta.[AK]
224,Tumor.[C10a=PD1] + Tumor.PD1_mabt <-> Tumor.[C10a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[C10a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C10a=PD1:aPD1],zeta.[AD] + zeta.FK <-> zeta.[AD:aPD1]
225,Tumor.[C10a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C10a=PD1]+[C10a=PD1:aPD1]+[T10a=PDL1:PD1=C10a]),zeta.[AD] -> null
226,Tumor.[C10b=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C10b=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C10b=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C10b=PDL1:aPDL1],zeta.[AF] + zeta.GI <-> zeta.[AF:aPDL1]
227,Tumor.[C10b=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C10b=PDL1]+[C10b=PDL1:aPDL1]+ [T10b=PD1:PDL1=C10b]+[T10c=CD80:PDL1=C10b]),zeta.[AF] -> null
228,Tumor.[C10c=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C10c=PDL2] + [T10b=PD1:PDL2=C10c]),zeta.[AG] -> null
229,Tumor.[C11a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C11a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C11a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C11a=PDL1:aPDL1],zeta.[AH] + zeta.GI <-> zeta.[AH:aPDL1]
230,Tumor.[C11a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C11a=PDL1]+[C11a=PDL1:aPDL1]+ [T11b=PD1:PDL1=C11a]),zeta.[AH] -> null
231,Tumor.[C11b=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C11b=CD80]+ [T11a=PDL1:CD80=C11b]),zeta.[AI] -> null
232,Tumor.[C12a=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C12a=PDL2]+ [T12b=PD1:PDL2=C12a]),zeta.[AJ] -> null
233,Tumor.[C12b=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C12b=CD80]+ [T12a=PDL1:CD80=C12b]),zeta.[AK] -> null
234,Tumor.[C13a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C13a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C13a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C13a=PDL1:aPDL1],zeta.[AL] + zeta.GI <-> zeta.[AL:aPDL1]
235,Tumor.[C13a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C13a=PDL1]+[C13a=PDL1:aPDL1]+ [T13b=PD1:PDL1=C13a]),zeta.[AL] -> null
236,Tumor.[C13b=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C13b=PDL2]+ [T13b=PD1:PDL2=C13b]),zeta.[AM] -> null
237,Tumor.[C13c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C13c=CD80]+ [T13a=PDL1:CD80=C13c]),zeta.[AN] -> null
238,Tumor.[C14a=PD1] + Tumor.[T14a=PDL1] <-> Tumor.[T14a=PDL1:PD1=C14a],[kon_PD1_PDL1]*Tumor.[C14a=PD1]*Tumor.[T14a=PDL1]/[V_T:C_14] -[koff_PD1_PDL1]*Tumor.[T14a=PDL1:PD1=C14a],zeta.[AO] + zeta.[IK] <-> zeta.[IK:PD1=C14a]
239,Tumor.[C14a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14a=PD1]+[C14a=PD1:aPD1]+ [T14a=PDL1:PD1=C14a]),zeta.[AO] -> null
240,Tumor.[C14b=PDL1] + Tumor.[T14c=CD80] <-> Tumor.[T14c=CD80:PDL1=C14b],[kon_PDL1_CD80]*Tumor.[C14b=PDL1]*Tumor.[T14c=CD80]/[V_T:C_14] -[koff_PDL1_CD80]*Tumor.[T14c=CD80:PDL1=C14b],zeta.[AQ] + zeta.[IQ] <-> zeta.[IQ:PDL1=C14b]
241,Tumor.[C14b=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C14b=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C14b=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C14b=PDL1:aPDL1],zeta.[AQ] + zeta.GI <-> zeta.[AQ:aPDL1]
242,Tumor.[C14b=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14b=PDL1]+[C14b=PDL1:aPDL1]+ [T14b=PD1:PDL1=C14b]+[T14c=CD80:PDL1=C14b]),zeta.[AQ] -> null
243,Tumor.[C14c=CD80] + Tumor.[T14a=PDL1] <-> Tumor.[T14a=PDL1:CD80=C14c],[kon_PDL1_CD80]*Tumor.[C14c=CD80]*Tumor.[T14a=PDL1]/[V_T:C_14] -[koff_PDL1_CD80]*Tumor.[T14a=PDL1:CD80=C14c],zeta.[AR] + zeta.[IK] <-> zeta.[IK:CD80=C14c]
244,Tumor.[C14c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14c=CD80]+ [T14a=PDL1:CD80=C14c]),zeta.[AR] -> null
245,Tumor.[C15a=PD1] + Tumor.PD1_mabt <-> Tumor.[C15a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[C15a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C15a=PD1:aPD1],zeta.[AS] + zeta.FK <-> zeta.[AS:aPD1]
246,Tumor.[C15a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15a=PD1]+[C15a=PD1:aPD1]+ [T15a=PDL1:PD1=C15a]),zeta.[AS] -> null
247,Tumor.[C15b=PDL2] + Tumor.[T15b=PD1] <-> Tumor.[T15b=PD1:PDL2=C15b],[kon_PD1_PDL2]*Tumor.[C15b=PDL2]*Tumor.[T15b=PD1]/[V_T:C_15] -[koff_PD1_PDL2]*Tumor.[T15b=PD1:PDL2=C15b],zeta.[AU] + zeta.[IV] <-> zeta.[IV:PDL2=C15b]
248,Tumor.[C15b=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15b=PDL2] + [T15b=PD1:PDL2=C15b]),zeta.[AU] -> null
249,Tumor.[C15c=CD80] + Tumor.[T15a=PDL1] <-> Tumor.[T15a=PDL1:CD80=C15c],[kon_PDL1_CD80]*Tumor.[C15c=CD80]*Tumor.[T15a=PDL1]/[V_T:C_15] -[koff_PDL1_CD80]*Tumor.[T15a=PDL1:CD80=C15c],zeta.[AV] + zeta.[IS] <-> zeta.[IS:CD80=C15c]
250,Tumor.[C15c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15c=CD80]+ [T15a=PDL1:CD80=C15c]),zeta.[AV] -> null
251,Tumor.[C16a=PD1] + Tumor.[T16a=PDL1] <-> Tumor.[T16a=PDL1:PD1=C16a],[kon_PD1_PDL1]*Tumor.[C16a=PD1]*Tumor.[T16a=PDL1]/[V_T:C_16] -[koff_PD1_PDL1]*Tumor.[T16a=PDL1:PD1=C16a],zeta.[AW] + zeta.[IY] <-> zeta.[IY:PD1=C16a]
252,Tumor.[C16a=PD1] + Tumor.PD1_mabt <-> Tumor.[C16a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[C16a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C16a=PD1:aPD1],zeta.[AW] + zeta.FK <-> zeta.[AW:aPD1]
253,Tumor.[C16a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16a=PD1]+[C16a=PD1:aPD1]+ [T16a=PDL1:PD1=C16a]),zeta.[AW] -> null
254,Tumor.[C16b=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C16b=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C16b=PDL1]*Tumor.PDL1_mabt/Vt-[koff_PDL1-PDL1mAb]*Tumor.[C16b=PDL1:aPDL1],zeta.[AY] + zeta.GI <-> zeta.[AY:aPDL1]
255,Tumor.[C16b=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16b=PDL1]+[C16b=PDL1:aPDL1]+ [T16c=CD80:PDL1=C16b]+[T16b=PD1:PDL1=C16b]),zeta.[AY] -> null
256,Tumor.[C16c=PDL2] + Tumor.[T16b=PD1] <-> Tumor.[T16b=PD1:PDL2=C16c],[kon_PD1_PDL2]*Tumor.[C16c=PDL2]*Tumor.[T16b=PD1]/[V_T:C_16] -[koff_PD1_PDL2]*Tumor.[T16b=PD1:PDL2=C16c],zeta.[BA] + zeta.[JC] <-> zeta.[JC:PDL2=C16c]
257,Tumor.[C16c=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16c=PDL2]+ [T16b=PD1:PDL2=C16c]),zeta.[BA] -> null
258,Tumor.[C16d=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16d=CD80]+ [T16a=PDL1:CD80=C16d]),zeta.[BB] -> null
259,Tumor.[C2=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C2=PD1]+[C2=PD1:aPD1]+[T2=PDL1:PD1=C2]),zeta.[BC] -> null
260,Tumor.[C3=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C3=PDL1]+[C3=PDL1:aPDL1]+[T3a=PD1:PDL1=C3]+[T3b=CD80:PDL1=C3]),zeta.[BE] -> null
261,Tumor.[C4=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C4=PDL2]+[T4=PD1:PDL2=C4]),zeta.[BG] -> null
262,Tumor.[C5=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C5=CD80]+[T5=PDL1:CD80=C5]),zeta.[BH] -> null
263,Tumor.[C6a=PD1] + Tumor.PD1_mabt <-> Tumor.[C6a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[C6a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C6a=PD1:aPD1],zeta.[BI] + zeta.FK <-> zeta.[BI:aPD1]
264,Tumor.[C6a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C6a=PD1]+[C6a=PD1:aPD1]+[T6a=PDL1:PD1=C6a]),zeta.[BI] -> null
265,Tumor.[C6b=PDL1] + Tumor.[T6b=PD1] <-> Tumor.[T6b=PD1:PDL1=C6b],[kon_PD1_PDL1]*Tumor.[C6b=PDL1]*Tumor.[T6b=PD1]/[V_T:C_6] - [koff_PD1_PDL1]*Tumor.[T6b=PD1:PDL1=C6b],zeta.[BK] + zeta.[JX] <-> zeta.[JX:PDL1=C6b]
266,Tumor.[C6b=PDL1] + Tumor.[T6c=CD80] <-> Tumor.[T6c=CD80:PDL1=C6b],[kon_PDL1_CD80]*Tumor.[C6b=PDL1]*Tumor.[T6c=CD80]/[V_T:C_6] -[koff_PDL1_CD80]*Tumor.[T6c=CD80:PDL1=C6b],zeta.[BK] + zeta.[KA] <-> zeta.[KA:PDL1=C6b]
267,Tumor.[C6b=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C6b=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C6b=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C6b=PDL1:aPDL1],zeta.[BK] + zeta.GI <-> zeta.[BK:aPDL1]
268,Tumor.[C6b=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C6b=PDL1]+[C6b=PDL1:aPDL1]+[T6b=PD1:PDL1=C6b]+[T6c=CD80:PDL1=C6b]),zeta.[BK] -> null
269,Tumor.[C7a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C7a=PD1]+[C7a=PD1:aPD1]+[T7a=PDL1:PD1=C7a]),zeta.[BL] -> null
270,Tumor.[C7b=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C7b=PDL2]+[T7b=PD1:PDL2=C7b]),zeta.[BN] -> null
271,Tumor.[C8a=PDL1] + Tumor.[T8b=CD80] <-> Tumor.[T8b=CD80:PDL1=C8a],[kon_PDL1_CD80]*Tumor.[C8a=PDL1]*Tumor.[T8b=CD80]/[V_T:C_8] -[koff_PDL1_CD80]*Tumor.[T8b=CD80:PDL1=C8a],zeta.[BO] + zeta.[KL] <-> zeta.[KL:PDL1=C8a]
272,Tumor.[C8a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C8a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C8a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C8a=PDL1:aPDL1],zeta.[BO] + zeta.GI <-> zeta.[BO:aPDL1]
273,Tumor.[C8a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C8a=PDL1]+[C8a=PDL1:aPDL1]+[T8a=PD1:PDL1=C8a]+[T8b=CD80:PDL1=C8a]),zeta.[BO] -> null
274,Tumor.[C8b=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C8b=PDL2]+[T8a=PD1:PDL2=C8b]),zeta.[BP] -> null
275,Tumor.[C9a=PD1] + Tumor.[T9=PDL1] <-> Tumor.[T9=PDL1-PD1=C9a],[kon_PD1_PDL1]*Tumor.[C9a=PD1]*Tumor.[T9=PDL1]/[V_T:C_9] - [koff_PD1_PDL1]*Tumor.[T9=PDL1-PD1=C9a],zeta.[BQ] + zeta.[KN] <-> zeta.[KN-PD1=C9a]
276,Tumor.[C9a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C9a=PD1]+[C9a=PD1:aPD1]+[T9=PDL1-PD1=C9a]),zeta.[BQ] -> null
277,Tumor.[C9b=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C9b=CD80]+[T9=PDL1-CD80=C9b]),zeta.[BS] -> null
278,Tumor.[CTLA4:CD80_TrAT] -> null,Endo_CTLA4*Tumor.[CTLA4:CD80_TrAT],zeta.[BX] -> null
279,Tumor.[CTLA4:CD86_TrAT] -> null,Endo_CTLA4*Tumor.[CTLA4:CD86_TrAT],zeta.[BY] -> null
280,Tumor.[CTLA4_CTLA4-Trt] -> null,Endo_CTLA4*Tumor.[CTLA4_CTLA4-Trt],zeta.[BZ] -> null
281,Tumor.[T{PD1}{80}-{PDL1}{PDL2}C] -> Tumor.[T{PD1}{80}-{PDL1}{PDL2}C] + Tumor.[T8a=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{80}-{PDL1}{PDL2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[LX] -> zeta.[LX] + zeta.[KH]
282,Tumor.[T{PD1}{80}-{PDL1}{PDL2}C] -> Tumor.[T{PD1}{80}-{PDL1}{PDL2}C] + Tumor.[T8b=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{80}-{PDL1}{PDL2}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[LX] -> zeta.[LX] + zeta.[KL]
283,Tumor.[T{PD1}{CD80}-{PDL1}C] -> Tumor.[T{PD1}{CD80}-{PDL1}C] + Tumor.[T3a=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{CD80}-{PDL1}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[LY] -> zeta.[LY] + zeta.[JL]
284,Tumor.[T{PD1}{CD80}-{PDL1}C] -> Tumor.[T{PD1}{CD80}-{PDL1}C] + Tumor.[T3b=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{CD80}-{PDL1}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[LY] -> zeta.[LY] + zeta.[JO]
285,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] + Tumor.[T16a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] -> zeta.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] + zeta.[IY]
286,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] + Tumor.[T16b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] -> zeta.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] + zeta.[JC]
287,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] + Tumor.[T16c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] -> zeta.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] + zeta.[JG]
288,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] + Tumor.[T14a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MF] -> zeta.[MF] + zeta.[IK]
289,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] + Tumor.[T14b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MF] -> zeta.[MF] + zeta.[IN]
290,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] + Tumor.[T14c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MF] -> zeta.[MF] + zeta.[IQ]
291,Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C] + Tumor.[T10a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MH] -> zeta.[MH] + zeta.[HM]
